"col1","col2"
"RedCapeDiver","1e+05"
"FaraDian","1e+05"
"Whitecap","1e+05"
"EmoLeBron","1e+05"
"Drokeep","1e+05"
"Thunfish","1e+05"
"Vaxlare","1e+05"
"RenoJacksonHS","1e+05"
"peskypenguin","1e+05"
"Festinator","1e+05"
"lespoils","1e+05"
"sve7en","1e+05"
"McGriddy10","1e+05"
"Waters","1e+05"
"Yagoyi","1e+05"
"jay2233","1e+05"
"Gwdjohnson","2e+05"
"Hallsy","2e+05"
"JNH","2e+05"
"Count Chocula","2e+05"
"Atox","2e+05"
"Thelastheraclid","2e+05"
"MCP_","2e+05"
"mcpumpkin","2e+05"
"Tomen","2e+05"
"Ohtaay","2e+05"
"NYR73","2e+05"
"domffl","2e+05"
"gurbs","2e+05"
"bluesfan55","2e+05"
"ValorX77","2e+05"
"CptSquall","2e+05"
"notoriousTRON","2e+05"
"Wheels","2e+05"
"spooked","2e+05"
"Ace","2e+05"
"DarkCanuck29","2e+05"
"dogwoodmaple","2e+05"
"Nhamlet","2e+05"
"gaby","2e+05"
"Seany148","3e+05"
"Tesla","3e+05"
"Aneeqs","3e+05"
"liebolda","3e+05"
"TheNextGreatOne","3e+05"
"Acsolap","3e+05"
"DrunkenTeddy","3e+05"
"WildfireMicro","3e+05"
"Andy","3e+05"
"Rangerjase","3e+05"
"High Stick King","3e+05"
"sköldpaddor","4e+05"
"jbay7","4e+05"
"bdu754","4e+05"
"lore","4e+05"
"dankoa","4e+05"
"natedoeshockey","4e+05"
"Punk42AE","4e+05"
"KaleSalad","4e+05"
"RAmenAmen","4e+05"
"steveoiscool","4e+05"
"SpartanGibbles","4e+05"
"Nictox","4e+05"
"micool132","4e+05"
"charlieconway","4e+05"
"kenvald","4e+05"
"leafsftw1967","4e+05"
"Valpix","5e+05"
"mystick","5e+05"
"Muerto","5e+05"
"luke","5e+05"
"Chevy","5e+05"
"Z-Whiz","5e+05"
"ItsFrenchie","5e+05"
"the5urreal","6e+05"
"golden_apricot","6e+05"
"RashfordU","6e+05"
"Evil_AllBran","6e+05"
"Estovich","6e+05"
"slothfacekilla","6e+05"
"boom","6e+05"
"chetib","6e+05"
"Crunk","6e+05"
"downer","6e+05"
"Eggcracker9","6e+05"
"tomtommen","6e+05"
"Samsung virtual assistant","6e+05"
"Ronniewalker","6e+05"
"OrbitingDeath","6e+05"
"Carpy48","6e+05"
"Scrufdaddy","6e+05"
"RainDelay","6e+05"
"Beta","6e+05"
"Lime","6e+05"
"5ympathies","6e+05"
"HabsFanFromOntario","6e+05"
"Operation Ivy","6e+05"
"erikvm","6e+05"
"Marcul_le_depanneur","6e+05"
"efischermann","6e+05"
"nerji","6e+05"
"Henrik","6e+05"
"WannabeFinn","6e+05"
"zeagle1","6e+05"
"C9Van","6e+05"
"Randominoe","6e+05"
"FuriousChicken","6e+05"
"Wearingabear","6e+05"
"Z0REM","6e+05"
"vic03","6e+05"
"CementHands","6e+05"
"Nike","6e+05"
"SewingWithNancy","6e+05"
"MikeLiut","6e+05"
"ElMerchanto","6e+05"
"thiefofcheese","6e+05"
"Anthique","6e+05"
"leviadan","6e+05"
"TnlAstatine","6e+05"
"Duga","6e+05"
"JT3","6e+05"
"JuOSu","6e+05"
"CapnCooper","6e+05"
"Sburbine","6e+05"
"Salming","6e+05"
"Toivo","6e+05"
"hhh81","6e+05"
"bbjygm","6e+05"
"retuperkele","6e+05"
"James Truong","6e+05"
"Keven","6e+05"
"BarnabasCollins","6e+05"
"39alaska39","6e+05"
