"col1","col2"
"Gadget","1e+05"
"Evok","1e+05"
"wumaduce","1e+05"
"NYR73","1e+05"
"Fantobens","1e+05"
"ValorX77","1e+05"
"gurbs","1e+05"
"scudmuffin19","1e+05"
"Chevy","1e+05"
"JaytheGreat","1e+05"
"Rotti","2e+05"
"ChickenLeg","2e+05"
"Froste39","2e+05"
"LeSizz","2e+05"
"MrPrime","2e+05"
"diacope","2e+05"
"Jorec","2e+05"
"Accka","2e+05"
"Crunk","2e+05"
"RAmenAmen","2e+05"
"DrunkenTeddy","2e+05"
"Ashes","2e+05"
"Reedy0rNot","2e+05"
"yosh","2e+05"
"liebolda","2e+05"
"mer","2e+05"
"Andy","2e+05"
"natedoeshockey","2e+05"
".bojo","2e+05"
"Kaliyevl34l","2e+05"
"Justice","2e+05"
"Rangerjase","2e+05"
"leafsftw1967","2e+05"
"kahri","2e+05"
"retuperkele","2e+05"
"Exilate","3e+05"
"Samsung virtual assistant","3e+05"
"notorioustig","3e+05"
"Southie","3e+05"
"Seany148","3e+05"
"CementHands","3e+05"
"KaleSalad","3e+05"
"sve7en","3e+05"
"boom","3e+05"
"Frenchie","3e+05"
"Redderder15","4e+05"
"WubbaLubbaDubDub184","4e+05"
"Dindog","4e+05"
"sliceruser","4e+05"
"WannabeFinn","4e+05"
"5ympathies","4e+05"
"Cycro","4e+05"
"Nike","4e+05"
"UptownCord","4e+05"
"raymond3000","4e+05"
"takethehorizon","4e+05"
"the5urreal","4e+05"
"Josh Latreille","4e+05"
"Spartan","4e+05"
"slothfacekilla","4e+05"
"JT3","4e+05"
"MMFLEX","4e+05"
"LordBallGag","4e+05"
"Marcul_le_depanneur","4e+05"
"FuriousChicken","4e+05"
"SewingWithNancy","4e+05"
"Katth","4e+05"
"C9Van","5e+05"
"Ohtaay","5e+05"
"micool132","5e+05"
"OrbitingDeath","5e+05"
"sköldpaddor","5e+05"
"ElMerchanto","6e+05"
"dogwoodmaple","6e+05"
"PapaSorin","6e+05"
"NorwegianDemon","6e+05"
"EmoLeBron","6e+05"
"domffl","6e+05"
"RainDelay","6e+05"
"Crash_Conrad","6e+05"
"Crazytomato","6e+05"
"spidey","6e+05"
"Tesla","6e+05"
"Schwartzy","6e+05"
"tomtommen","6e+05"
"Wheels","6e+05"
"zeagle1","6e+05"
"BANACKOCK","6e+05"
"CptSquall","6e+05"
"wizard_literal","6e+05"
"Nictox","6e+05"
"BarnabasCollins","6e+05"
"FaraDian","6e+05"
"WildfireMicro","6e+05"
"Mayuu","6e+05"
"Australiankek","6e+05"
"DigDoug11","6e+05"
"Dainjah","6e+05"
"Scrufdaddy","6e+05"
"jbay7","6e+05"
"soevil","6e+05"
"Punk42AE","6e+05"
"AK41","6e+05"
"MikeLiut","6e+05"
"Lime","6e+05"
"linsangeles","6e+05"
"hockeyfan","6e+05"
"Carpy48","6e+05"
"MyLittleHexx","6e+05"
"39alaska39","6e+05"
"dasboot","6e+05"
"Operation Ivy","6e+05"
"Thunfish","6e+05"
"mystick","6e+05"
"McGriddy10","6e+05"
"charlieconway","6e+05"
"electrictree","6e+05"
"st4rface","6e+05"
"Weaves","6e+05"
"Anthique","6e+05"
"Keven","6e+05"
"Eggcracker","6e+05"
"Salming","6e+05"
"puolivalmiste","6e+05"
"downer","6e+05"
"Hungy Fella","6e+05"
"mee","6e+05"
"kenvald","6e+05"
"SledgehammerPete","6e+05"
"Toivo","6e+05"
"hhh81","6e+05"
"steveoiscool","6e+05"
"bbjygm","6e+05"
"JamesT","6e+05"
"Aephino","6e+05"
"CapnCooper","6e+05"
"leviadan","6e+05"
"Takk806","6e+05"
