"userName","getProfile.handle","payment"
"luke","thomason0008",0
"ACapitalChicago","johnbrownshl",0
"hhh81","dinogangjham",6e+05
"James Truong","djbenjammin6",6e+05
"Keven","kevenshl",6e+05
"Matteo","mat10smith",0
"MrStennett","iihf_shl",0
"CrazyMojito","mojitocrazy",0
"zeagle1","mewtwoshl",0
"bluesfan55","mitchellheijden",0
"Muerto","rikomuerto",350000
"kenvald","shlkenvald",350000
"Dude","rudestofsniffs",0
"Clean Andrei Kostitsyn","andreikostitsyn",0
"Sean","thesandlions",0
"RedCapeDiver","redcape_diver",0
"mastersheep","mastersheep11",0
"Jumbobone19","jumbobone19",0
"Zomp","iihf_shl",0
"leviadan","leviadan1",6e+05
"TnlAstatine","luffyshl",0
"sulovilen","strombergwalton",0
"Chevy","the_strom_21",150000
"roastpuff","magnusliljestr1",0
"LordBirdman","svensvenson_10",0
"krazko","krazko1",0
"goldenglutes","guyzhengshl",0
"micool132","micool84098365",550000
"Z0REM","phineasgold",0
"leafs1997","leafs1997",2e+05
"bdu754","podcalz0ne",150000
"Patty","twisterirish",0
"Acsolap","rex_kirkby",0
"sakrosankt","withecheck",4e+05
"CanadianDuck","canadianduck23",0
"Jabs","mikehrochshl",0
"hotdog","hotdog_ssc",0
"Tylar","liamslate13",0
"Fitted2106","mike21063",2e+05
"RomanesEuntDomus","wintertime21",0
"3lewsers","gretzky_dwayne",0
"Skeleton Party","iihf_shl",0
"Serpe x 13","vadimaskerov13",150000
"frazzle14","flamemacdonald",0
"Briedaqueduc","paulkoivushl",0
"Toivo","toivoshl",6e+05
"Kierkan","lafleurshl",0
"Rich","purp1ck",2e+05
"Demolish","rosejacyanno",0
"Rangerjase","rangerjase",0
"Jericson","jericsonshl",0
"MCP_","joorgjoorg",0
"MyLittleHexx","justinkeahi",5e+05
"Titan","mcfelter",0
"NorwegianDemon","norwegian_ac93",450000
"suavemente","leeroyposter",0
"Wearingabear","wearingabear",550000
"FleshBagSoup","slimey_snail",0
"Lime","pucksitter",0
"RotticusScott","rotticuss",0
"bbjygm","smcshotty",450000
"Thelastheraclid","shlemerson",0
"Nictox","nictoxagency",0
"Mutedfaith","callabovitch",0
"Carpy48","harrycarpet48",6e+05
"lordbolo","lordbolo2",0
"SewingWithNancy","gatezsean",450000
"notoriousTRON","real_pritch",6e+05
"Mavfatha","manuelgotze2",0
"UberBJ","biggaforyu",0
"Huck24","lyle96540611",0
"mee","johnnyshuff",0
"Katth","katth45724652",0
"leafsftw1967","marnermats",6e+05
"Cyanide","lbalzams",0
"Jobin","ajobin9",0
"retuperkele","luukasliljashl",6e+05
"Jonny Tsunami","jonnytsunamipbe",0
"DeletedAtUserRequest","calgarydragons1",0
"Snoopdogg","daniellafores11",0
"PremierBromanov","tomfiddler1",5e+05
"Massive Coiler","nottonyflow17",4e+05
"Moreorless89","richardluffy",0
"Zema","oscarssonalex",0
"sve7en","jwagnerhockey",0
"_Blitz_","dmarston_34",0
"gurbs","first_last_29",2e+05
"UrsinZ","ursin_z",0
"jtam","rikhammarberg16",0
"Nerio","bobbysharpsimh",0
"Salming","wsalming",6e+05
".simo","charlesworthshl",0
"Tayjay","johannsontaylor",0
"JKortesi81","nolaspecters",0
"OrbitingDeath","rmontagne38",6e+05
"sköldpaddor","legday77",0
"Nike","kickz_nike",6e+05
"slothfacekilla","thapizzasloth",6e+05
"canes2112","grapefruitshl",0
"lespoils","jeanuhtred",0
"Rankle","rankleshl",150000
"Festinator","jkahnwaldshl",4e+05
"Ronniewalker","lemopihlshl",6e+05
"LatinViking","kkovacsshl",0
"zaynzk","boyleandbaxter",0
"Asked Madden","friedenh",0
"Faelax","alexanderroach",0
"Jorec","adam68573805",0
"Nhamlet","r11minamino",0
"Halkohol","jgra_31",0
"Matty7478","matthew__7478",0
"honkerrs","thescoochie29",0
"Pythonic","valtterrikau44",0
"Kraagenskul","leavittzebulon",0
"juke","jukkatimonen1",0
"BarnabasCollins","nimblerod1961",6e+05
